2023-07-25 23:05:10.042 [DEBU] {70dfa238a1247517521f7901dba41cd6} [ 36 ms] [default] [rows:8  ] SHOW FULL COLUMNS FROM `admin_info`
2023-07-25 23:05:10.052 [DEBU] {8097e73aa1247517531f7901bd93159b} [  8 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-07-25 23:05:10.054 [DEBU] {50bc743ba1247517541f790109caa6b4} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-07-25 23:05:10.056 [DEBU] {281b893ba1247517551f790170ec8921} [  2 ms] [default] [rows:5  ] SHOW FULL COLUMNS FROM `role_permission_info`
2023-07-25 23:05:10.059 [DEBU] {80e1ab3ba1247517561f790113da7ace} [  3 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-07-25 23:05:10.061 [DEBU] {3856d93ba1247517571f7901a91669e2} [  2 ms] [default] [rows:6  ] SHOW FULL COLUMNS FROM `permission_info`
2023-07-25 23:05:10.062 [DEBU] {502df43ba1247517581f7901787010e7} [  1 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-07-25 23:06:46.532 [DEBU] {483af9b1b72475175b1f79016690d139} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-07-25 23:06:46.534 [DEBU] {90c11fb2b72475175c1f79019af76c94} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-07-25 23:06:46.535 [DEBU] {d85b2eb2b72475175d1f7901a40379ae} [  1 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-07-25 23:06:46.535 [DEBU] {883e3cb2b72475175e1f79011c642662} [  0 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-07-25 23:10:06.777 [DEBU] {48614051e62475179fb81f2640deab97} [  6 ms] [default] [rows:8  ] SHOW FULL COLUMNS FROM `admin_info`
2023-07-25 23:10:06.783 [DEBU] {8808d151e6247517a0b81f26767f7ad7} [  2 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-07-25 23:10:06.787 [DEBU] {002d1b52e6247517a1b81f2692e157b4} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-07-25 23:10:06.791 [DEBU] {88c14452e6247517a2b81f267ff30fb0} [  3 ms] [default] [rows:5  ] SHOW FULL COLUMNS FROM `role_permission_info`
2023-07-25 23:10:06.793 [DEBU] {98867e52e6247517a3b81f260e27d431} [  1 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-07-25 23:10:06.797 [DEBU] {c0139752e6247517a4b81f26920ada48} [  3 ms] [default] [rows:6  ] SHOW FULL COLUMNS FROM `permission_info`
2023-07-25 23:10:06.797 [DEBU] {50beca52e6247517a5b81f2640028cfb} [  0 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-07-25 23:11:43.894 [DEBU] {90991beefc247517a8b81f2639d97613} [  2 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-07-25 23:11:43.896 [DEBU] {b8134ceefc247517a9b81f26d6e6ab17} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-07-25 23:11:43.898 [DEBU] {38c263eefc247517aab81f2690321bf1} [  1 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-07-25 23:11:43.899 [DEBU] {a8317feefc247517abb81f26f6f6131b} [  0 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-07-25 23:11:46.498 [DEBU] {60006789fd247517adb81f2609c891ce} [  0 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-07-25 23:11:46.500 [DEBU] {20bc8189fd247517aeb81f26b7bee0bb} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-07-25 23:11:46.501 [DEBU] {20d39289fd247517afb81f26916e8d7b} [  1 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-07-25 23:11:46.502 [DEBU] {00a8a189fd247517b0b81f26d5ec7d81} [  1 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-07-25 23:11:47.253 [DEBU] {e8a764b6fd247517b2b81f267fe42fb0} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-07-25 23:11:47.256 [DEBU] {58a592b6fd247517b3b81f262ed2c178} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-07-25 23:11:47.257 [DEBU] {a85baab6fd247517b4b81f2604f79573} [  0 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-07-25 23:11:47.258 [DEBU] {a8fbb9b6fd247517b5b81f2634dfa963} [  0 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-07-25 23:11:48.071 [DEBU] {98d924e7fd247517b7b81f26aea4b648} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-07-25 23:11:48.072 [DEBU] {d85c3ee7fd247517b8b81f267b2e3fae} [  0 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-07-25 23:11:48.074 [DEBU] {d0214fe7fd247517b9b81f26be831eb0} [  1 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-07-25 23:11:48.075 [DEBU] {c84565e7fd247517bab81f26c5351691} [  1 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-07-25 23:12:04.079 [DEBU] {68044ea101257517bcb81f26e36e84d9} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-07-25 23:12:04.081 [DEBU] {a8fe68a101257517bdb81f26ef5ab4de} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-07-25 23:12:04.082 [DEBU] {80ce7fa101257517beb81f26896b76b0} [  0 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-07-25 23:12:04.083 [DEBU] {600294a101257517bfb81f26dbfcba16} [  0 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-07-25 23:12:16.631 [DEBU] {d8b0568d04257517c1b81f269aab9472} [  3 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-07-25 23:12:16.633 [DEBU] {a85c8f8d04257517c2b81f263ce1fdc9} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-07-25 23:12:16.635 [DEBU] {a89cae8d04257517c3b81f26e5d1b6cc} [  1 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
