2023-07-26 22:41:05.327 [DEBU] {f0299c6ae5717517dfb3902ece966ef6} [ 30 ms] [default] [rows:8  ] SHOW FULL COLUMNS FROM `admin_info`
2023-07-26 22:41:05.335 [DEBU] {f8d66c6ce5717517e0b3902e9b24a459} [  7 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-07-26 22:41:26.150 [DEBU] {00403745ea71751793a38b2a2b843c27} [  5 ms] [default] [rows:8  ] SHOW FULL COLUMNS FROM `admin_info`
2023-07-26 22:41:26.152 [DEBU] {50529345ea71751794a38b2a3f059dec} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-07-26 22:41:26.155 [DEBU] {40cab745ea71751795a38b2a512398d5} [  2 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-07-26 22:41:26.161 [DEBU] {e82fe145ea71751796a38b2af14a8861} [  5 ms] [default] [rows:5  ] SHOW FULL COLUMNS FROM `role_permission_info`
2023-07-26 22:41:26.167 [DEBU] {a8fa3746ea71751797a38b2a3b58548f} [  6 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-07-26 22:41:26.170 [DEBU] {00e89246ea71751798a38b2af6dbb6da} [  3 ms] [default] [rows:6  ] SHOW FULL COLUMNS FROM `permission_info`
2023-07-26 22:41:26.172 [DEBU] {9873c446ea71751799a38b2a8db77d4c} [  1 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-07-26 23:21:28.542 [DEBU] {b8f04b9b19747517d7310272d6668bd7} [ 67 ms] [default] [rows:8  ] SHOW FULL COLUMNS FROM `admin_info`
2023-07-26 23:21:28.547 [DEBU] {f81f5b9f19747517d83102726f28e666} [  3 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
