2023-09-04 23:09:25.659 [DEBU] {58b1d501a8ba81176a671409b0dc3ec4} [ 43 ms] [default] [rows:8  ] SHOW FULL COLUMNS FROM `admin_info`
2023-09-04 23:09:25.669 [DEBU] {e8617904a8ba81176b67140942708ff8} [  9 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-09-04 23:09:25.672 [DEBU] {60162905a8ba81176c671409bb502951} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-09-04 23:09:25.675 [DEBU] {a81b3b05a8ba81176d6714097caaa0d9} [  2 ms] [default] [rows:5  ] SHOW FULL COLUMNS FROM `role_permission_info`
2023-09-04 23:09:25.679 [DEBU] {f8d06705a8ba81176e6714090daf6787} [  4 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-09-04 23:09:25.681 [DEBU] {885da005a8ba81176f6714096ca66dd1} [  2 ms] [default] [rows:6  ] SHOW FULL COLUMNS FROM `permission_info`
2023-09-04 23:09:25.682 [DEBU] {601bba05a8ba811770671409c67f8fb1} [  1 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-09-04 23:09:33.758 [DEBU] {98d719e7a9ba8117736714090e4d8f38} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-09-04 23:09:33.759 [DEBU] {f8d22ce7a9ba811774671409bccbb29f} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-09-04 23:09:33.759 [DEBU] {e86937e7a9ba81177567140917b8dd5f} [  0 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-09-04 23:09:33.760 [DEBU] {686642e7a9ba81177667140991886735} [  0 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-09-04 23:19:23.077 [DEBU] {8805f11c33bb8117b21f3f7f9804cc6b} [  6 ms] [default] [rows:8  ] SHOW FULL COLUMNS FROM `admin_info`
2023-09-04 23:19:23.080 [DEBU] {d0be621d33bb8117b31f3f7f776acf49} [  2 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-09-04 23:19:23.083 [DEBU] {d0509e1d33bb8117b41f3f7f040d7e9e} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-09-04 23:19:23.086 [DEBU] {3803b61d33bb8117b51f3f7f62ca77a3} [  2 ms] [default] [rows:5  ] SHOW FULL COLUMNS FROM `role_permission_info`
2023-09-04 23:19:23.087 [DEBU] {3038de1d33bb8117b61f3f7fa36b8898} [  1 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-09-04 23:19:23.090 [DEBU] {a847ed1d33bb8117b71f3f7f9eed6952} [  3 ms] [default] [rows:6  ] SHOW FULL COLUMNS FROM `permission_info`
2023-09-04 23:19:23.091 [DEBU] {3834161e33bb8117b81f3f7fd9cfb0b4} [  1 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-09-04 23:22:51.499 [DEBU] {7853f6a363bb81176e52c9728af488f8} [  5 ms] [default] [rows:8  ] SHOW FULL COLUMNS FROM `admin_info`
2023-09-04 23:22:51.501 [DEBU] {c03d4ba463bb81176f52c972f3ac4c97} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-09-04 23:22:51.504 [DEBU] {28b381a463bb81177052c972759f3401} [  0 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-09-04 23:22:51.509 [DEBU] {607997a463bb81177152c97291f57a13} [  4 ms] [default] [rows:5  ] SHOW FULL COLUMNS FROM `role_permission_info`
2023-09-04 23:22:51.510 [DEBU] {b027daa463bb81177252c972112f3dd5} [  1 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-09-04 23:22:51.515 [DEBU] {2825eca463bb81177352c972b61cc960} [  4 ms] [default] [rows:6  ] SHOW FULL COLUMNS FROM `permission_info`
2023-09-04 23:22:51.516 [DEBU] {989830a563bb81177452c9727e7dcd6f} [  1 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-09-04 23:23:06.839 [DEBU] {90027b3667bb81177652c97220793ad1} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-09-04 23:23:06.840 [DEBU] {98119b3667bb81177752c97211a6757f} [  0 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-09-04 23:23:06.842 [DEBU] {a068af3667bb81177852c972f14b8a2a} [  1 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-09-04 23:23:06.843 [DEBU] {70f8c23667bb81177952c972e50c99ae} [  1 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-09-04 23:52:34.560 [DEBU] {e899d2ca02bd81177c52c9726f929326} [  2 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-09-04 23:52:34.562 [DEBU] {305605cb02bd81177d52c972cd4ed5b9} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-09-04 23:52:34.563 [DEBU] {300213cb02bd81177e52c97267926189} [  1 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-09-04 23:52:34.564 [DEBU] {a8ff24cb02bd81177f52c97253b29bc1} [  1 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-09-04 23:54:26.395 [DEBU] {38a6b6d41cbd81178352c9723c756667} [  2 ms] [default] [rows:5  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` LIMIT 0,10
2023-09-04 23:54:26.398 [DEBU] {38a6b6d41cbd81178352c9723c756667} [  3 ms] [default] [rows:1  ] SELECT COUNT(1) FROM `admin_info`
2023-09-04 23:54:26.399 [DEBU] {38a6b6d41cbd81178352c9723c756667} [  1 ms] [default] [rows:5  ] SELECT `id`,`name`,`role_ids`,`is_admin`,`created_at`,`updated_at` FROM `admin_info` LIMIT 0,10
2023-09-04 23:55:10.038 [DEBU] {50d414fe26bd81178652c972bae183a1} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
